id,name,area,experience,description,key_skills,employer,alternate_url,from,to,currency
77428301,Разработчик SAP BO,Москва,От 3 до 6 лет,"Компания ARK - экосистема решений, позволяющих закрывать полный цикл по оптимизации бизнес процессов. Мы работали над сайтами, мобильными приложениями и IT платформами для крупнейших медийных, фармацевтических, киберспорт и FMCG компаний. Собственное SFA-решение – автоматизация работы полевых команд (мерч, торговые представители, сотрудники торгового зала), Retail & FMCG.   Чем предстоит заниматься:  Разработка витрин данных Teradata, MS SQL;Разработка и поддержка юниверсов и отчетов SAP BusinessObjects; Поддержка пользователей при работе с инструментами отчетности (вопросы управления доступом, корректности данных, скорости работы отчетов и выгрузок); Мониторинг и оптимизация процедур загрузки данных; Взаимодействие с другими техническими командами, в том числе, на иностранном языке (переписки, встречи); Оптимизация сложных объемных запросов к хранилищу данных; Ведение документации.    Требования:  Опыт разработки юниверсов SAP BusinessObjects (особенно контексты); Опыт построения отчетов и дашбордов SAP Business Objects; Опыт разработки витрин данных и SQL-запросов (MS SQL/Teradata); Понимание принципов построения баз данных и принципов построения запросов из различных приложений к ним; Знание принципов архитектурного построения BI решений, умение оптимизировать и предлагать лучшие процессы в архитектуре; Понимание бизнес-процессов в одной или нескольких предметных областях: Заказы, Продажи, Поставки; Знание английского на разговорном уровне и возможность ведения рабочей переписки.    Будет плюсом:  Опыт работы с ETL-инструментами и опыт построения ETL процессов; Опыт разработки на языке Python; Опыт работы с Git и облачными решениями.    Мы предлагаем:   аккредитованная it-компания   удаленная работа   процесс обмена знаниями и рост в команде   график работы 5/2   интересные и нетривиальные задачи   дружный коллектив    ","['SAP Business Objects', 'MS SQL', 'Teradata', 'Python', 'ETL']",ARK,https://hh.ru/vacancy/77428301,,,
77430744,Middle Backend Developer (Python),Томск,От 1 года до 3 лет,"Betting Software специализируется на разработке веб-приложений в сфере iGaming и Betting для зарубежных клиентов. Создаем, развиваем и сопровождаем IT-продукты для игорного бизнеса. Ищем Python-разработчика с опытом работы с асинхронными фреймворками и высоконагруженными проектами. Детали:  Стек технологий: Python, FastAPI, Tornado, PostgreSQL, SQLAlchemy, Redis, RabbitMQ, Docker, nginx, gitlab-ci 80+ сотрудников в компании, среди них треть в разработке  Основные задачи:  Поддержание производительности, отказоустойчивости и бесперебойности работы проектов Внедрение нового функционала и оптимизация кода Разработка микросервисов Написание API  Ожидаем:   Опыт коммерческой разработки на Python от 1,5 лет   Коммерческий опыт работы с асинхронными фреймворками   Умение анализировать SQL-запросы   Опыт работы с реляционными СУБД   Умение работать с брокерами сообщений (RabbitMQ)   Опыт работы с ORM, в приоритете SQLAlchemy   Умение тестировать свой код и работать с чужим   Навыки работы с Docker   Опыт использования Linux   Условия:  Удаленная работа 5/2 Гибкий график: с 10 до 14 по МСК – обязательные рабочие часы, остальные 4 часа – в удобное время Выплата ЗП 2 раза в месяц в USDT Ежемесячные бонусы до 12% от ЗП Оплата английского языка и компенсация расходов на лечение  28 отпускных дней каждый год  ","['Python', 'Асинхронное программирование', 'Highload']",Betting Software,https://hh.ru/vacancy/77430744,120000.0,220000.0,RUR
77425269,Data Аналитик,Москва,От 1 года до 3 лет,"EGAR Technology - российская группа компаний, специализирующаяся в областях:  Разработки программного обеспечения для финансовых рынков - линейка продуктов под брендом EGAR; ИТ аутсорсинга, заказной разработки и заказного тестирования для крупных компаний.  EGAR сегодня - это:  Более 20 лет успешных разработок сложных программных систем для банков и финансовых компаний; Исследования, активный поиск новых архитектурных и технологических решений для бизнес-заказчиков на стыке современных технологий и бизнеса – резидент Инновационного центра «Сколково»; 8 филиалов в России; Обширная и узнаваемая клиентская база.  В проект доработки системы отчетности крупной транспортной компании приглашается BI Аналитик Обязанности:   Сбор и формализация требований к аналитической отчетности;   Подготовка MVP модели и дизайн пилота для управления сезонными категориями товаров;   Аналитика (пост и предикативная) методологии управления дополнительным торговым; оборудованием (ДТО);   Доработка текущего калькулятора;   Работа с BI системами.   Требования:  Опыт работы в роли Data Аналитика от 1 года; Знание методологий и нотаций описания бизнес-процессов (BPMN, EPC); Знание SQL на среднем уровне и выше; Python: хорошее знание Pyspark; ML базовый, статистика.  Условия:  Официальное оформление в стабильную и динамично развивающуюся ИТ компанию EGAR Technology; График работы с 9:00 до 18:00 (гибкое начало рабочего дня обсуждаем); Удалённый формат работы; Конкурентный уровень заработной платы, который мы готовы обсудить на собеседовании; Полноценную проектную команду с четким разделением ролей; Оперативное решение организационных вопросов; Возможность профессионального роста (вертикального или горизонтального); Компенсация на обучение для повышения вашей квалификации (курсы, сертификация); Годовой бонус по результатам работы компании; Бонусы по реферальной программе; ДМС включающий стоматологию; Дополнительно 4 дня в год по болезни без больничного листа (sick day); Применение в работе современных технологий и стандартов. ","['SQL', 'MS SQL', 'MS Visual Studio', 'Разработка нового продукта', 'Базы данных', 'ETL', 'Qlik Sense']","EGAR TECHNOLOGY, INC.",https://hh.ru/vacancy/77425269,,,
77290870,Middle ++\Senior python developer,Нижний Новгород,От 3 до 6 лет,"""Lad"" - аккредитованная It-компания, помогает крупному бизнесу в решении задач Data-инженерии, машинного обучения, анализа и визуализации данных. Приглашаем Python разработчика, который готов подхватить процессы разработки, техническое ревью проектов в паре с текущим техлидом и руководителем направления.В команде 10 человек: узкие специалисты - дата аналитики, исследователи данных, ML разработчики. Ожидаем специалиста, целостно разбирающегося в процессе разработке ПО. Мы предлагаем:   Возможность попробовать себя в роли технического лидера под менторством опытного наставника.   Позицию техлида по итогам испытательного срока (или возможность остаться в команде на позиции разработчика).   Рост технического уровня. Есть возможность пробовать новые подходы и технологии, прокачивать компетенции на проектах в разных сферах бизнеса.   Стек: Python, Scrapy, Airflow, PostgreSQL, SQLAlchemy, Pandas, Dash, PySide, Unreal Engine Что предстоит делать: Технический контроль над процессами разработки совместно с руководителем направления: - Участие в постановке задач команде, декомпозиция, выбор технических решений - Проведение код-ревью на текущих проектах, участие в тестировании продукта - Проектирование и разработка микросервисов с дашбордами для вывода аналитики - Проектирование и разработка микросервисов с рекомендательными системами, взаимодействие с ML специалистами - Реинжиниринг загрузки/выгрузки данных в части оптимизации нагрузки, в том числе разработка и интеграция Что для нас важно: - Понимание принципов проектирования приложений (веб, десктоп) и БД. - Знание Python - Опыт проведения код-ревью - Опыт работы с PostgreSQL, SQL, веб-фреймворки, unit тесты, sqlAlchemy Будет плюсом: - Знание pyside (pyqt), опыт использования MLFlow, DVC, pandas, опыт участия в ML проектах - Опыт построения ETL пайплайнов (Airflow) Условия:- Удаленный/гибридный формат работы, полная занятость. - Онбординг на входе в компанию. - Корпоративные скидки: Skyeng , ФизКульт, мед. центр и пр. - Реферальная программа для сотрудников (до 70 000 р. за приведенного человека). - Оборудование от компании с доставкой в любой город. - Программа частичного субсидирования покупки оборудования в личное пользование.","['Python', 'SQLAlchemy', 'SQL', 'PostgreSQL', 'Анализ кода']",IT-компания Lad,https://hh.ru/vacancy/77290870,200000.0,,RUR
77282299,"Разработчик Asyncio, AioHttp уровня Middle",Казань,От 1 года до 3 лет,"Основное направление нашей компании - заказная разработка веб-сервисов и создание собственных стартапов. В связи с расширением находимся в поиске Python разработчика уровня Middle / Middle+ на долгосрочные проекты. Стэк на проекте - Asyncio, AioHttp.Как узнать, что мы идеально подходим друг другу:  Вы хорошо разбираетесь в Python, Django, Asyncio, AioHttp, Flask, имеете опыт работы не менее двух лет, принимали участие как минимум в нескольких проектах, работали в команде Вы хотите работать в компании единомышленников среди Python-разработчиков Вам интересно работать над новыми стартапами, участвовать в жизни их становления Вы не любите бюрократию, планерки, митапы, презентации, совещания и пр. вещи, которые отвлекают от работы Вы встаете рано, потому что знаете, что утром голова работает лучше и задачи решаются быстрее Вы уже знаете, что идеальных ТЗ не бывает Вы понимаете, что прежде чем отдать задачу на проверку тестировщику надо самим все хорошо проверить. А если у проекта нет тестировщика (да, в жизни и не такое бывает), то самим проверить все дважды. Понимаете, что нужно соблюдать баланс между качеством кода и длительностью разработки Вы любите делиться знаниями, не боитесь обращаться за помощью к коллегам Вы самостоятельный и ответственный, умеете здраво оценивать свои силы Вы дочитали до этой строчки  Как работаем:  Общаемся в Slack Задачи ведем в YouTrack Проекты завернуты в Docker CI/CD настроен Покрываем код тестами  Что предлагаем:  Стабильную удаленную работу Проектную работу или Официальное трудоустройство Регулярные выплаты (не реже двух раз в месяц) Лояльный рабочий график, начало рабочего дня не позже 10 по мск Интересные долгосрочные проекты (как правило от 6 мес), сложные задачи, работа с современными технологиями ","['Python', 'Django', 'asyncio', 'aiohttp', 'Flask']",IdPowers,https://hh.ru/vacancy/77282299,130000.0,190000.0,RUR
77216110,Python Backend Developer (Senior/Remote),Москва,От 1 года до 3 лет,"JetLend - инвестиционная платформа в индустрии краудлендинга, созданная выходцами из Сбербанка, Sberbank CIB и Oliver Wyman. №1 на российском рынке (по объему кредитного портфеля). Мы развиваем интернет-платформу по кредитованию малого и среднего бизнеса напрямую физическими, юридическими лицами и институциональными инвесторами. Малому и среднему бизнесу сложно получить кредит в банке, а рынок облигаций для них закрыт. В свою очередь, доходность для инвесторов по депозитам, акциям и облигациям падает. Мы решаем обе проблемы. В ноябре 2020 г. мы закрыли инвестиционный раунд серии А и начали масштабироваться. За последние 2 года мы выросли в 18 раз, прокредитовав бизнес на 5 млрд рублей. В ближайшее время мы планируем расти с ежегодным темпом в 300% или более. В 2026 мы планируем провести IPO на Мосбирже.   Наши ценности: — Мы стремимся создать глобальную и прибыльную финтех-компанию, способную в будущем потеснить классические банки. — Мы воспринимаем каждого члена команды как партнера, поэтому по итогам года предоставляем всем сотрудникам опцион на долю в компании. — Мы считаем, что каждый партнер является самостоятельным и ответственным за результат: у нас нет микроменеджмента, можно работать из любого удобного места. — Мы крайне заинтересованы в росте и развитии сотрудников. — Мы инвестируем в образование команды, считая обучение приоритетной ценностью. Технологии: — Основной стек: Python 3.8, Django + DRF, MySQL, React — Покрытие тестами основной части кода (>75%), обязательное использование типизации, отсутствие legacy-кода — Continuous Integration для автоматического запуска тестов, линтеров и mypy Обязанности:   Доработка ключевых компонентов системы: личные кабинеты, админка, мобильное приложение, интеграции с внешними источниками, уведомления и т.д.   Интеграция с разработчиками Frontend   Ревью и прием PR от других Backend разработчиков   Требования: Обязательные:   Хорошее знание Python 3.8, Django>=2.0, DRF   Опыт работы с реляционными базами данных (MySQL)   Умение писать юнит-тесты   Опыт промышленной разработки на Python от 1 года   Желательные, но необязательные:   Опыт работы с очередями задач (Celery)   Опыт использования систем контроля версий (Git)   Умение адекватно оценивать трудоёмкость и сроки, соблюдать эти сроки   Способность работать самостоятельно и в команде, взаимодействовать с людьми   Условия:   Оклад + премия + опционная программа   Возможность удаленной работы   Гибкие условия работы, когда главное – результат, а не исполнение формальных требований  ","['Python', 'Django Framework', 'MySQL']",JetLend,https://hh.ru/vacancy/77216110,,300000.0,RUR
77407414,Python Backend Developer (Remote),Москва,От 1 года до 3 лет,"JetLend - инвестиционная платформа в индустрии краудлендинга, созданная выходцами из Сбербанка, Sberbank CIB и Oliver Wyman. №1 на российском рынке (по объему кредитного портфеля). Мы развиваем интернет-платформу по кредитованию малого и среднего бизнеса напрямую физическими, юридическими лицами и институциональными инвесторами. Малому и среднему бизнесу сложно получить кредит в банке, а рынок облигаций для них закрыт. В свою очередь, доходность для инвесторов по депозитам, акциям и облигациям падает. Мы решаем обе проблемы. В ноябре 2020 г. мы закрыли инвестиционный раунд серии А и начали масштабироваться. За последние 2 года мы выросли в 18 раз, прокредитовав бизнес на 5 млрд рублей. В ближайшее время мы планируем расти с ежегодным темпом в 300% или более. В 2026 мы планируем провести IPO на Мосбирже.   Наши ценности: — Мы стремимся создать глобальную и прибыльную финтех-компанию, способную в будущем потеснить классические банки. — Мы воспринимаем каждого члена команды как партнера, поэтому по итогам года предоставляем всем сотрудникам опцион на долю в компании. — Мы считаем, что каждый партнер является самостоятельным и ответственным за результат: у нас нет микроменеджмента, можно работать из любого удобного места. — Мы крайне заинтересованы в росте и развитии сотрудников. — Мы инвестируем в образование команды, считая обучение приоритетной ценностью. Технологии: — Основной стек: Python 3.8, Django + DRF, MySQL, React — Покрытие тестами основной части кода (>75%), обязательное использование типизации, отсутствие legacy-кода — Continuous Integration для автоматического запуска тестов, линтеров и mypy Обязанности:   Доработка ключевых компонентов системы: личные кабинеты, админка, мобильное приложение, интеграции с внешними источниками, уведомления и т.д.   Интеграция с разработчиками Frontend   Ревью и прием PR от других Backend разработчиков   Требования: Обязательные:   Хорошее знание Python 3.8, Django>=2.0, DRF   Опыт работы с реляционными базами данных (MySQL)   Умение писать юнит-тесты   Опыт промышленной разработки на Python от 1 года   Желательные, но необязательные:   Опыт работы с очередями задач (Celery)   Опыт использования систем контроля версий (Git)   Умение адекватно оценивать трудоёмкость и сроки, соблюдать эти сроки   Способность работать самостоятельно и в команде, взаимодействовать с людьми   Условия:   Оклад + премия + опционная программа   Возможность удаленной работы   Гибкие условия работы, когда главное – результат, а не исполнение формальных требований     Не упускай шанс стать частью нашей дружной команды и делать качественный продукт! Откликайся на вакансию и мы обязательно свяжемся с вами:)","['Python', 'Django Framework', 'MySQL']",JetLend,https://hh.ru/vacancy/77407414,,300000.0,RUR
77319651,Python разработчик,Санкт-Петербург,От 1 года до 3 лет,"MST — агентство-интегратор для технологических компаний. Мы с 2004 года разрабатываем и ускоряем запуск масштабных цифровых продуктов, наши технологии и проектный опыт позволяют решать задачи финтех-, IT- и телеком-компаний. Наши направления: стратегия, мобильная, веб-разработка, дизайн, performance маркетинг, SMM. Нам доверяют: ЦБ РФ, Сбер, Уралсиб, Росбанк, Raiffeisen Bank, Открытие, Теле2, Мегафон,Ростелеком, MTC, Дом ру, Роснефть, Газпромнефть, Audi, Mercedes Benz, Panasonic, Ikea, Yandex, Mail Ru Group, Сколково, Кинопоиск. Доказательством нашей экспертизы являются высокие позиции в отраслевых рейтингах, а также 100+ наград на российских и зарубежных конкурсах: Awwwards, CSS Awards, Tagline Awards, Golden Site, Golden App, Премия Рунета. Ищем в свою команду Python разработчика. Если совсем подробно, нам нужен сотрудник, который будет:  Разрабатывать сложный функционал, поддерживать и оптимизировать старый. Управлять командой разработки и самостоятельно распределять задачи внутри команды. Проводить CodeReview.   Твои профессиональные скиллы:  Обязателен опыт работы с Python, fastapi, strawberry-python (GraphQL), redis, postgresql. Опыт работы в Linux, командной строке. Опыт работы с Docker и Docker-compose. Опыт использования систем контроля версий (в частности, Git). Опыт работы в высоконагруженных проектах. Умение писать тесты. Хорошее знание SQL и опыт работы с реляционными базами данных: PostgreSQL. Опыт работы c ELK стэком. Будет плюсом: навыки администрирования БД/проектирования больших миграций; опыт работы с SQLAlchemy + Alembic, Kubernetes, Kafka/Rabbit MQ, Redis, Firebase, CI/CD, Nginx, websocket, Elasticsearch.  Мы ценим в людях:  Стремление к развитию. Смелость, честность и ответственность.  Что получают наши сотрудники:   Стабильную работу в крупной IT-компании. За последний год мы выросли в два раза и продолжаем расти. Условия для эффективной работы. Наши сотрудники работают удалённо, либо в креативном digital-офисе с зонами для отдыха и столовой. Мы предоставляем современную технику с новейшим программным обеспечением. Участие в сложных и интересных проектах. Наши клиенты — мировые бренды и транснациональные компании. Слаженную коммуникацию с командой. Передовые технологии. Мы следуем трендам, постоянно экспериментируем и анализируем технологический стек. Карьерный рост и профессиональное развитие. Раз в полгода мы проводим оценочную сессию и составляем индивидуальный план развития для каждого сотрудника. Эффективную систему наставничества. За каждым сотрудником закрепляется наставник, который делится своим опытом и знаниями. Обучение за счёт компании. Мы даём возможность каждому раскрыть свой потенциал: проводим внутренние митапы, оплачиваем участие в конференциях и внешнее обучение, инициатором которого можете стать вы. Официальное трудоустройство.  Белоснежную зарплату и её регулярный пересмотр по итогам perfomance review. Доступ к корпоративной библиотеке.  Хочешь стать частью нашей команды?  Жми на ""откликнуться""! Мы обязательно рассмотрим твое резюме и дадим feedback в течение 7 рабочих дней.","['Python', 'PostgreSQL', 'Fastapi', 'Redis', 'GraphQL', 'Docker', 'Kubernetes']",MST,https://hh.ru/vacancy/77319651,,200000.0,RUR
77373765,Python developer,Санкт-Петербург,От 3 до 6 лет,"Мы занимаемся seo продвижением клиентских сайтов и запуском своих проектов.Ищем в команду python разработчика для решения амбициозной цели по автоматизации процессов seo продвижения. Обязанности:  Создание скриптов, парсеры для автоматизации seo: генерирование текстов, анализ текстов, поведенческие и тп; Писать парсеры: выдачи, сайтов; Работа с api яндекс метрики, вебмастер, seotome и тд; Обработка данных на сервере; Работа с базами данных; Настройка сервера.  Требования:  базовое знание SQL; уверенное владение Python (библиотеки работы с данными); умение выстраивать эффективное взаимодействие со смежными командами; Желательно понимание основ seo продвижения.  Условия:  Амбициозный проект, интересные с профессиональной точки зрения задачи; Удаленное сотрудничество с выстроенными процессами; Свобода выбора стека технологий; Гибкий рабочий график. ","['SEO', 'Python']",PROFIT agency,https://hh.ru/vacancy/77373765,,,
77327866,BI Developer (Tableau),Тбилиси,От 3 до 6 лет,"Эта вакансия предполагает обязательную релокацию из России и Беларуси с возможностью работы в одном из наших офисов в Ирландии, Португалии, Кипре, Сербии, Черногории, Армении, Казахстане, либо удаленно из других стран. Playrix является крупнейшей игровой компанией в Европе и входит в топ-3 самых успешных мобильных разработчиков в мире. Мы создали такие хиты, как Gardenscapes, Fishdom, Manor Matters, Homescapes, Wildscapes и Township, которые скачали более 2 миллиардов игроков. В игры Playrix каждый месяц играют более 100 миллионов человек. Наша команда VTableau: мы разрабатываем и поддерживаем большое количество дашбордов для различных направлений. Благодаря нашим разработкам бизнес получает возможность оперативно принимать экономически оправданные решения, эффективно взаимодействовать с бизнес-партнёрами и постоянно улучшать метрики наших игр. Наши задачи   Работа с системой BI-отчетности Tableau;   Поддержка существующих отчётов и разработка новых dashboards;   Коммуникация с бизнес-заказчиком и сбор требований к dashboards;   Сбор требований к источникам данных dashboards;   Обмен опытом с командой и передача экспертизы по работе с системой;   Написание технической документации.   Наш стек Tableau, Redshift, PostgreSQL, Airflow. Почему Playrix   минимум бюрократии, нет трекинга времени — мы доверяем нашим сотрудникам и ориентируемся на результат;   помогаем развивать наших сотрудников: даем интересные задачи, организуем обмен опытом, оплачиваем курсы, конференции и сертификации;   мы верим, что без высокой технической экспертизы невозможно решать амбициозные цели, которые мы сами себе ставим.   Мы ожидаем   Опыт работы с системой BI-отчетности Tableau от одного года (LOD’s, Action’s, Parametres);   Опыт работы с базами данных и написание SQL-запросов (знание view, join, window function - опционально);   Проактивность, критическое мышление;   Способность длительное время концентрировать внимание на задачах.   Будет плюсом   опыт использования Python;   опыт проектирования интерфейсов, юзабилити тестирование;   опыта работы в области анализа данных и/или работы в роли Data Analyst.   Мы предлагаем   Комфортные условия Работайте удаленно из любой точки мира. Мы гибко подходим к вопросам релокации и помогаем с переездом. Заботу о здоровье Компенсируем онлайн-сессии с психологом, открываем для вас и ваших детей ДМС со стоматологией и лечением от COVID-19. Организуем вакцинацию для тех, кому это важно. Спорт и фитнес Поддерживаем здоровый образ жизни и компенсируем покупку любых спортивных абонементов, подписку на фитнес-приложение или участие в марафонах. Заботу о благополучии Сохраняем 100% зарплату во время отпуска или больничного без лишних справок. А для особых случаев предоставим дополнительные выходные. Удобное рабочее место У нас есть все для комфортной работы, где бы вы не находились. В офисах — зоны отдыха и горячее питание, для удаленных сотрудников — доставка современной техники. Развитие и обучение Оплачиваем участие в профильных конференциях и курсах, регулярно проводим внутренние буткемпы и стажировки. А для личного развития предлагаем доступ к тысячам книг в онлайн-библиотеке и скидки на курсы английского языка. Мероприятия и мерч Конкурсы, спортивные челленджи, вечеринки, хакатоны и внутренние офлайн-ивенты для команд — каждый год мы проводим сотни мероприятий по всему миру. Социальные проекты Запускаем благотворительные проекты и поддерживаем идеи сотрудников в конкурсе грантов.","['LODs', 'Tableau', 'BI-отчетность', 'Actions', 'User Filters', 'Parameters', 'JOIN', 'Relationships', 'Blending', 'Python', 'проектирования интерфейсов', 'Usability testing']",Playrix,https://hh.ru/vacancy/77327866,,,
